"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dme00190","Metabolism","Energy metabolism","dme00190","Oxidative phosphorylation - Drosophila melanogaster (fruit fly)","22/807","146/3549",0.992936251520159,0.992936251520159,0.894736842098188,"45012/36826/42341/43442/33744/39761/41550/46069/38521/42216/31342/34997/39926/34995/44307/31235/42291/40679/45668/39214/5740185/42759",22
"dme00040","Metabolism","Carbohydrate metabolism","dme00040","Pentose and glucuronate interconversions - Drosophila melanogaster (fruit fly)","5/807","50/3549",0.994380868821297,0.994380868821297,0.894736842098188,"35692/32880/39305/35138/44058",5
"dme01240","Metabolism","Global and overview maps","dme01240","Biosynthesis of cofactors - Drosophila melanogaster (fruit fly)","20/807","138/3549",0.994937785785237,0.994937785785237,0.894736842098188,"39396/30973/34256/42295/53581/34759/40988/41279/32297/40936/31781/40599/41417/33742/43739/35138/32640/46234/44058/32026",20
"dme03020","Genetic Information Processing","Transcription","dme03020","RNA polymerase - Drosophila melanogaster (fruit fly)","2/807","30/3549",0.995833702119597,0.995833702119597,0.894736842098188,"41741/33712",2
"dme00511","Metabolism","Glycan biosynthesis and metabolism","dme00511","Other glycan degradation - Drosophila melanogaster (fruit fly)","1/807","22/3549",0.99663648248682,0.99663648248682,0.894736842098188,"34835",1
"dme00860","Metabolism","Metabolism of cofactors and vitamins","dme00860","Porphyrin metabolism - Drosophila melanogaster (fruit fly)","4/807","47/3549",0.997302830070224,0.997302830070224,0.894736842098188,"31845/46415/35138/44058",4
"dme00790","Metabolism","Metabolism of cofactors and vitamins","dme00790","Folate biosynthesis - Drosophila melanogaster (fruit fly)","3/807","40/3549",0.997454199058845,0.997454199058845,0.894736842098188,"30973/31781/39305",3
"dme00020","Metabolism","Carbohydrate metabolism","dme00020","Citrate cycle (TCA cycle) - Drosophila melanogaster (fruit fly)","3/807","43/3549",0.998668157355611,0.998668157355611,0.894736842098188,"39281/37131/39899",3
"dme01210",NA,NA,"dme01210","2-Oxocarboxylic acid metabolism - Drosophila melanogaster (fruit fly)","2/807","36/3549",0.998969314384204,0.998969314384204,0.894736842098188,"32297/39899",2
"dme03420","Genetic Information Processing","Replication and repair","dme03420","Nucleotide excision repair - Drosophila melanogaster (fruit fly)","3/807","51/3549",0.999773102184951,0.999773102184951,0.894736842098188,"41741/7354403/41611",3
"dme03030","Genetic Information Processing","Replication and repair","dme03030","DNA replication - Drosophila melanogaster (fruit fly)","1/807","34/3549",0.999851974061814,0.999851974061814,0.894736842098188,"43278",1
"dme03050","Genetic Information Processing","Folding, sorting and degradation","dme03050","Proteasome - Drosophila melanogaster (fruit fly)","3/807","53/3549",0.999855417375227,0.999855417375227,0.894736842098188,"39855/37910/32274",3
"dme00970","Genetic Information Processing","Translation","dme00970","Aminoacyl-tRNA biosynthesis - Drosophila melanogaster (fruit fly)","3/807","64/3549",0.999988432598591,0.999988432598591,0.894736842098188,"45784/38331/36547",3
"dme03008","Genetic Information Processing","Translation","dme03008","Ribosome biogenesis in eukaryotes - Drosophila melanogaster (fruit fly)","15/807","194/3549",0.999999996804732,0.999999996804732,0.894736842098188,"32132/38740/39666/38749/317878/32338/43944/36135/31943/42633/39904/48448/36019/34680/37948",15
"dme03010","Genetic Information Processing","Translation","dme03010","Ribosome - Drosophila melanogaster (fruit fly)","17/807","238/3549",0.999999999992093,0.999999999992093,0.894736842098188,"40060/44783/47218/43103/35098/39338/37684/32953/33214/37669/43723/3355124/34420/45329/43532/44059/40091",17
